            121.48399               4.48792             125.97191             347.19864 
            113.65399              12.39211             126.04610             958.69047 
            104.37191              21.66755             126.03946            1676.26660 
             87.28724              38.66723             125.95447            2991.41236 
             64.26749              61.68606             125.95356            4772.21796 
             43.50785              82.61734             126.12520            6391.52411 
             24.93789             101.15415             126.09204            7825.58683 
             -3.37357             128.98874             125.61517            9978.95368 
            -26.77306             151.64898             124.87592           11732.01768 
            -50.17032             174.57223             124.40191           13505.42848 
            -73.53712             198.39241             124.85529           15348.22863 
           -102.57700             225.23259             122.65559           17424.66485 
            -84.25054             229.17833             144.92779           17729.91934 
           4800.95481        17446867.56539        17451668.52020      1349741726.66360 
           -976.97663  242478655586475.50000  242478655585498.53125  18758872218392916.00000 
          -1547.75077  988790303891747.87500  988790303890200.12500  76495767912554208.00000 
          -1073.43325  1033913378739583.87500  1033913378738510.50000  79986623605086128.00000 
       69849405.82529  3173991501937703.50000  3173991571787109.50000  245549452025398464.00000 
           -707.74917  8602056654390752.00000  8602056654390044.00000  665480766563986432.00000 
           -347.71727  8602056654390384.00000  8602056654390036.00000  665480766563958016.00000 
             -7.84311  8602056654390044.00000  8602056654390036.00000  665480766563931648.00000 
            301.27078  8602056654389734.00000  8602056654390035.00000  665480766563907712.00000 
            631.23042  8602056654389402.00000  8602056654390033.00000  665480766563881984.00000 
            957.97009  8602056654389072.00000  8602056654390030.00000  665480766563856512.00000 
           1295.86932  8602056654388744.00000  8602056654390040.00000  665480766563831168.00000 
           1689.21399  8602056654388350.00000  8602056654390039.00000  665480766563800704.00000 
           3754.96603  8602056654638630.00000  8602056654642385.00000  665480766583163008.00000 
           2227.09901  8602056655707342.00000  8602056655709569.00000  665480766665841792.00000 
           2555.82637  8602056656011612.00000  8602056656014168.00000  665480766689380992.00000 
           2983.69386  8602056656011180.00000  8602056656014164.00000  665480766689347584.00000 
           3504.20057  8602056656010660.00000  8602056656014164.00000  665480766689307392.00000 
